Country,CountryCode,Year,IndicatorCode,IndicatorClass,IndicatorLabel,Value
China,CHN,2018,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.090898
"Hong Kong SAR, China",HKG,2018,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.406134
Mexico,MEX,2018,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",4.897469
Philippines,PHL,2018,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",5.319056
Poland,POL,2018,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.805642
Thailand,THA,2018,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.070521
"Taiwan, China",TWN,2018,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.351118
Brazil,BRA,2019,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.738395
China,CHN,2019,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.829461
"Hong Kong SAR, China",HKG,2019,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.900422
Mexico,MEX,2019,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.634968
Philippines,PHL,2019,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.4002
Poland,POL,2019,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.192752
Thailand,THA,2019,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",0.706423
"Taiwan, China",TWN,2019,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",0.559154
Brazil,BRA,2020,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.210621
China,CHN,2020,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.226841
"Hong Kong SAR, China",HKG,2020,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",0.225828
Mexico,MEX,2020,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.397901
Philippines,PHL,2020,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.376495
Poland,POL,2020,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",3.36347
Thailand,THA,2020,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",-0.846072
"Taiwan, China",TWN,2020,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",-0.240727
Brazil,BRA,2021,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",8.304068
